sample	stage	sequencing_round	parents	f1	cross_type	species	location	m_unique	p_unique	mean_caudal_lightness	mean_jaw_length	mean_nose_length	mean_nose_height	lake
NAT1	48hpf	2	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h	NA	NA	NA	NA	NA
NAT2	48hpf	2	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h	NA	NA	NA	NA	NA
NAT3	48hpf	2	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h	NA	NA	NA	NA	NA
OUE1	8dpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OUE3	8dpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OUE4	8dpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OUT1	48hpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OUT2	48hpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OUT3	48hpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OVE1	8dpf	3	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OVE4	8dpf	3	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OVE5	8dpf	3	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OVT1	48hpf	2	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
